,Prov,Con_ACT,Sex,Age,Measure,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
143,AB,No,F,40-44,events,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,AB,No,F,40-44,censored,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,AB,No,F,45-49,Tx,9.0,8.0,8.0,8.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
146,AB,No,F,45-49,events,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,AB,No,F,45-49,censored,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,
148,AB,No,F,50-54,Tx,10.0,9.0,9.0,9.0,8.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
149,AB,No,F,50-54,events,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
150,AB,No,F,50-54,censored,,,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
151,AB,No,F,55-59,Tx,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
152,AB,No,F,55-59,events,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,AB,No,F,55-59,censored,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,
154,AB,No,F,60-64,Tx,9.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
155,AB,No,F,60-64,events,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
156,AB,No,F,60-64,censored,,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
157,AB,No,F,65+,Tx,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
158,AB,No,F,65+,events,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,AB,No,F,65+,censored,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
163,AB,No,M,30-34,Tx,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
164,AB,No,M,30-34,events,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
165,AB,No,M,30-34,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
166,AB,No,M,35-39,Tx,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,AB,No,M,35-39,events,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,AB,No,M,35-39,censored,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,AB,No,M,40-44,Tx,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,
170,AB,No,M,40-44,events,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
171,AB,No,M,40-44,censored,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
172,AB,No,M,45-49,Tx,9.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,,,,,
173,AB,No,M,45-49,events,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
174,AB,No,M,45-49,censored,,2.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,
175,AB,No,M,50-54,Tx,10.0,10.0,10.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
176,AB,No,M,50-54,events,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
177,AB,No,M,50-54,censored,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0
178,AB,No,M,55-59,Tx,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,
179,AB,No,M,55-59,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,AB,No,M,55-59,censored,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
181,AB,No,M,60-64,Tx,12.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
182,AB,No,M,60-64,events,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
183,AB,No,M,60-64,censored,,1.0,,,,,2.0,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
184,AB,No,M,65+,Tx,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
185,AB,No,M,65+,events,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,AB,No,M,65+,censored,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
217,AB,Null,F,25-29,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
218,AB,Null,F,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
219,AB,Null,F,25-29,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,AB,Null,F,30-34,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
221,AB,Null,F,30-34,events,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
222,AB,Null,F,30-34,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,AB,Null,F,35-39,Tx,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,AB,Null,F,35-39,events,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,AB,Null,F,35-39,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,AB,Null,F,40-44,Tx,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,AB,Null,F,40-44,events,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,AB,Null,F,40-44,censored,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,AB,Null,F,45-49,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,AB,Null,F,45-49,events,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,AB,Null,F,45-49,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,AB,Null,F,55-59,Tx,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,AB,Null,F,55-59,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,AB,Null,F,55-59,censored,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,AB,Null,F,60-64,Tx,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,AB,Null,F,60-64,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,AB,Null,F,60-64,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,AB,Null,M,25-29,Tx,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,AB,Null,M,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,AB,Null,M,25-29,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,AB,Null,M,30-34,Tx,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,AB,Null,M,30-34,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,AB,Null,M,30-34,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,AB,Null,M,50-54,Tx,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
248,AB,Null,M,50-54,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,AB,Null,M,50-54,censored,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
250,AB,Null,M,55-59,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
251,AB,Null,M,55-59,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,AB,Null,M,55-59,censored,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
280,AB,Yes,F,18-19,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,AB,Yes,F,18-19,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,AB,Yes,F,18-19,censored,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,AB,Yes,F,40-44,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,AB,Yes,F,40-44,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,AB,Yes,F,40-44,censored,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,AB,Yes,F,45-49,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
287,AB,Yes,F,45-49,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,AB,Yes,F,45-49,censored,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
289,AB,Yes,F,55-59,Tx,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
290,AB,Yes,F,55-59,events,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
291,AB,Yes,F,55-59,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,AB,Yes,M,35-39,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
296,AB,Yes,M,35-39,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,AB,Yes,M,35-39,censored,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
298,AB,Yes,M,50-54,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
299,AB,Yes,M,50-54,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,AB,Yes,M,50-54,censored,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
301,AB,Yes,M,55-59,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,AB,Yes,M,55-59,events,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,AB,Yes,M,55-59,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,AB,Yes,M,60-64,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,AB,Yes,M,60-64,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,AB,Yes,M,60-64,censored,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Atlantic,No,F,20-24,Tx,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Atlantic,No,F,20-24,events,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,Atlantic,No,F,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Atlantic,No,F,25-29,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
857,Atlantic,No,F,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Atlantic,No,F,25-29,censored,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Atlantic,No,F,30-34,Tx,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,Atlantic,No,F,30-34,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Atlantic,No,F,30-34,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Atlantic,No,F,35-39,Tx,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Atlantic,No,F,35-39,events,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Atlantic,No,F,35-39,censored,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Atlantic,No,F,40-44,Tx,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
866,Atlantic,No,F,40-44,events,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Atlantic,No,F,40-44,censored,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,
868,Atlantic,No,F,45-49,Tx,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,
869,Atlantic,No,F,45-49,events,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
870,Atlantic,No,F,45-49,censored,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
871,Atlantic,No,F,50-54,Tx,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Atlantic,No,F,50-54,events,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Atlantic,No,F,50-54,censored,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Atlantic,No,F,55-59,Tx,8.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
875,Atlantic,No,F,55-59,events,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Atlantic,No,F,55-59,censored,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
877,Atlantic,No,F,60-64,Tx,10.0,8.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
878,Atlantic,No,F,60-64,events,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Atlantic,No,F,60-64,censored,,2.0,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
880,Atlantic,No,F,65+,Tx,10.0,9.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
881,Atlantic,No,F,65+,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Atlantic,No,F,65+,censored,,1.0,1.0,,,,1.0,1.0,,2.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
886,Atlantic,No,M,35-39,Tx,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Atlantic,No,M,35-39,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Atlantic,No,M,35-39,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Atlantic,No,M,40-44,Tx,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
890,Atlantic,No,M,40-44,events,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Atlantic,No,M,40-44,censored,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
892,Atlantic,No,M,45-49,Tx,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
893,Atlantic,No,M,45-49,events,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Atlantic,No,M,45-49,censored,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
895,Atlantic,No,M,50-54,Tx,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
896,Atlantic,No,M,50-54,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Atlantic,No,M,50-54,censored,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
898,Atlantic,No,M,55-59,Tx,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,
899,Atlantic,No,M,55-59,events,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
900,Atlantic,No,M,55-59,censored,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
901,Atlantic,No,M,60-64,Tx,3.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Atlantic,No,M,60-64,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Atlantic,No,M,60-64,censored,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Atlantic,No,M,65+,Tx,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Atlantic,No,M,65+,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Atlantic,No,M,65+,censored,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Atlantic,Null,F,20-24,Tx,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Atlantic,Null,F,20-24,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Atlantic,Null,F,20-24,censored,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Atlantic,Null,F,30-34,Tx,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Atlantic,Null,F,30-34,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Atlantic,Null,F,30-34,censored,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Atlantic,Null,F,40-44,Tx,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Atlantic,Null,F,40-44,events,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Atlantic,Null,F,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
